interest_id,category,mobi_feature,travelogue_feature,mobi_sub_feature,travelogue_mobi_sub_feature,source
1258489123,EXPERIENCE,On a Budget,,1.5 star hotel,,
890442893,EXPERIENCE,On a Budget,,1 star hotel,,
1935875005,EXPERIENCE,On a Budget,,2.5 star hotel,,
954280751,EXPERIENCE,On a Budget,,2 star hotel,,
1651260061,EXPERIENCE,On a Budget,,3.5 star hotel,,
1037388225,EXPERIENCE,On a Budget,,3 star hotel,,
1699305779,EXPERIENCE,Luxury,,4.5 star hotel,,
734292137,EXPERIENCE,Luxury,,4 star hotel,,
43916960,EXPERIENCE,Luxury,,5 star hotel,,
2110934202,EXPERIENCE,Family Friendly,,Agritourism,,
874339373,EXPERIENCE,Nature,,Agritourism,,
1902601024,EXPERIENCE,On a Budget,,Agritourism,,
911372972,EXPERIENCE,Relaxing,,Air conditioning,,
1010835676,EXPERIENCE,Luxury,,All-Inclusive,,
2032087072,EXPERIENCE,Outdoors,,Amenity,,
1992324530,EXPERIENCE,Luxury,,Apart-Hotel,,
1497040065,EXPERIENCE,On a Budget,,Apartment,,
503193152,EXPERIENCE,Outdoors,,Balcony,,
921392114,EXPERIENCE,Nightlife,,Bars,,
1008235100,EXPERIENCE,Water,,Bathtub,,
1627142080,EXPERIENCE,On a Budget,,Bed & Breakfast,,
950954025,EXPERIENCE,Shopping,,Brand,,
1174699963,EXPERIENCE,Food & Drink,,Breakfast available,,
1965116518,EXPERIENCE,Woodsy,,Cabin,,
969699948,EXPERIENCE,Outdoors,,Caravan Park,,
190797323,EXPERIENCE,History & Culture,,Castle,,
553061364,EXPERIENCE,Luxury,,Chalet,,
1480938262,EXPERIENCE,Luxury,,Condo,,
2110546658,EXPERIENCE,Luxury,,Condominium Resort,,
1641959321,EXPERIENCE,Food & Drink,,Oven,,
580541675,EXPERIENCE,Luxury,,Pillow menu,,
568421682,EXPERIENCE,Luxury,,Premium bedding,,
793017729,ACCOMMODATION,Wellness,,Shower,,
1702560284,ACCOMMODATION,Shopping,,Slippers,,
936514351,ACCOMMODATION,Food & Drink,,Snack bar/deli,,
555426750,ACCOMMODATION,Food & Drink,,Stovetop,,
445657106,ACCOMMODATION,On a Budget,,Wifi in all rooms,,
5247133,ACCOMMODATION,Woodsy,,Cottage,,
559095919,ACCOMMODATION,History & Culture,,Country House,,
1833195099,ACCOMMODATION,Water,,Cruise,,
1896957986,ACCOMMODATION,Wellness,,Fitness center,,
871383812,ACCOMMODATION,On a Budget,,Free Wifi in all rooms,,
57299505,ACCOMMODATION,On a Budget,,Free Wifi in public areas,,
1093405626,ACCOMMODATION,On a Budget,,Guest House,,
142488441,ACCOMMODATION,Parks,,Holiday Park,,
509542423,ACCOMMODATION,On a Budget,,Hostel / Backpacker Accommodation,,
1923553092,ACCOMMODATION,On a Budget,,Hostel (Budget Hotel),,
1569138673,ACCOMMODATION,Luxury,,Hotel Resort,,
1558336969,ACCOMMODATION,Water,,House Boat,,
1989436543,ACCOMMODATION,Wellness,,Hypo-allergenic bedding,,
791706589,ACCOMMODATION,Water,,Indoor pool,,
1723927146,ACCOMMODATION,History & Culture,,Inn,,
2001607418,ACCOMMODATION,On a Budget,,Internet access in all rooms,,
662590163,ACCOMMODATION,Food & Drink,,Kitchenette,,
550647365,ACCOMMODATION,Outdoors,,Lodge,,
417688383,ACCOMMODATION,Wellness,,Massage & Spa,,
1573543896,ACCOMMODATION,History & Culture,,Palace,,
846532049,ACCOMMODATION,On a Budget,,Pension,,
158664474,EXPERIENCE,Water,,Pool,,
889198498,EXPERIENCE,Luxury,,Pousada (Brazil),,
620242481,EXPERIENCE,History & Culture,,Pousada (Portugal),,
2079933864,EXPERIENCE,Luxury,,Private Vacation Home,,
561015698,EXPERIENCE,Outdoors,,Ranch,,
243734927,EXPERIENCE,History & Culture,,Residence,,
971909150,EXPERIENCE,Food & Drink,,Restaurants,,
1487091953,EXPERIENCE,Luxury,,Riad,,
61551611,EXPERIENCE,Luxury,,Room service,,
51466385,EXPERIENCE,Wellness,,Ryokan,,
1789134510,EXPERIENCE,Adventure,,Safari / Tentalow,,
688002562,EXPERIENCE,Nature,,Safari / Tentalow,,
339421042,EXPERIENCE,Outdoors,,Safari / Tentalow,,
656946340,EXPERIENCE,Family Friendly,,Safe,,
1253134303,EXPERIENCE,On a Budget,,Sofa bed,,
516899008,EXPERIENCE,Outdoors,,Terrace,,
1082000988,EXPERIENCE,Luxury,,TownHouse,,
1596474842,EXPERIENCE,Nature,,Tree House,,
1784164001,EXPERIENCE,Luxury,,Villa,,
113124397,EXPERIENCE,Family Friendly,,Wheelchair accessible,,
887633343,EXPERIENCE,On a Budget,,Wifi in public areas,,
603020477,EXPERIENCE,On a Budget,,Wired internet in all rooms,,
326975616,EXPERIENCE,Food & Drink,,BBQ grill,,
1505907188,EXPERIENCE,Luxury,,Blackout drapes/curtains,,
1599891032,EXPERIENCE,Food & Drink,,Coffee/tea maker,,
1423079046,EXPERIENCE,Artsy,,Desk,,
2077493237,EXPERIENCE,On a Budget,,Dishwasher,,
1866929251,EXPERIENCE,Luxury,,Down comforter,,
1462969564,EXPERIENCE,Food & Drink,,Electric kettle,,
1635267849,EXPERIENCE,Luxury,,Flat-screen TV,,
420952703,EXPERIENCE,Food & Drink,,Free coffee/tea bags,,
50744046,EXPERIENCE,Nature,,Garden,,
83570770,EXPERIENCE,Nightlife,,Bar,,
1762796715,EXPERIENCE,On a Budget,,Free internet access in all rooms,,
1201223067,EXPERIENCE,On a Budget,,Free internet access in public areas,,
